iter	Passed	Remaining
1092	37938	31482
1093	37972	31446
1094	38007	31412
1095	38066	31397
1096	38108	31369
1097	38143	31334
1098	38177	31299
1099	38211	31264
1100	38243	31226
1101	38276	31190
1102	38327	31169
1103	38371	31142
1104	38411	31111
1105	38445	31076
1106	38478	31039
1107	38514	31006
1108	38553	30974
1109	38585	30937
1110	38623	30906
1111	38659	30871
1112	38695	30838
1113	38732	30805
1114	38765	30769
1115	38800	30734
1116	38836	30700
1117	38868	30663
1118	38905	30630
1119	38943	30598
1120	38976	30562
1121	39009	30526
1122	39049	30495
1123	39086	30462
1124	39119	30426
1125	39159	30395
1126	39195	30361
1127	39233	30329
1128	39263	30291
1129	39297	30255
1130	39365	30246
1131	39403	30214
1132	39438	30179
1133	39471	30143
1134	39511	30112
1135	39552	30082
1136	39599	30056
1137	39641	30027
1138	39754	30051
1139	39807	30030
1140	39844	29997
1141	39878	29961
1142	39912	29925
1143	39961	29901
1144	39997	29867
1145	40031	29831
1146	40067	29797
1147	40097	29758
1148	40132	29723
1149	40166	29688
1150	40202	29653
1151	40237	29619
1152	40270	29582
1153	40303	29546
1154	40343	29515
1155	40376	29479
1156	40406	29440
1157	40437	29402
1158	40465	29362
1159	40496	29325
1160	40637	29366
1161	40698	29350
1162	40738	29319
1163	40777	29286
1164	40827	29262
1165	40881	29240
1166	40921	29209
1167	40955	29173
1168	41000	29145
1169	41035	29110
1170	41066	29072
1171	41097	29034
1172	41129	28997
1173	41165	28962
1174	41200	28927
1175	41235	28892
1176	41266	28854
1177	41299	28818
1178	41333	28782
1179	41368	28747
1180	41405	28713
1181	41452	28687
1182	41506	28664
1183	41546	28633
1184	41580	28597
1185	41614	28561
1186	41647	28525
1187	41683	28490
1188	41715	28453
1189	41748	28417
1190	41785	28383
1191	41821	28348
1192	41854	28312
1193	41889	28277
1194	41926	28243
1195	41967	28212
1196	42005	28179
1197	42056	28154
1198	42089	28117
1199	42123	28082
1200	42162	28049
1201	42194	28012
1202	42222	27972
1203	42255	27936
1204	42285	27897
1205	42318	27861
1206	42354	27826
1207	42393	27794
1208	42435	27763
1209	42469	27727
1210	42509	27696
1211	42550	27664
1212	42584	27628
1213	42619	27593
1214	42652	27557
1215	42687	27522
1216	42717	27484
1217	42750	27447
1218	42790	27415
1219	42820	27377
1220	42854	27341
1221	42881	27301
1222	42925	27271
1223	42961	27236
1224	42996	27202
1225	43032	27167
1226	43085	27143
1227	43118	27107
1228	43151	27070
1229	43187	27036
1230	43219	26998
1231	43250	26961
1232	43285	26926
1233	43316	26888
1234	43349	26851
1235	43384	26816
1236	43417	26780
1237	43452	26745
1238	43489	26711
1239	43521	26674
1240	43552	26636
1241	43593	26605
1242	43642	26579
1243	43682	26546
1244	43721	26513
1245	43760	26481
1246	43797	26447
1247	43830	26410
1248	43860	26372
1249	43897	26338
1250	43933	26303
1251	43967	26268
1252	44005	26234
1253	44044	26201
1254	44092	26174
1255	44139	26146
1256	44174	26110
1257	44209	26075
1258	44243	26040
1259	44275	26003
1260	44312	25969
1261	44345	25932
1262	44380	25897
1263	44416	25862
1264	44450	25826
1265	44487	25792
1266	44511	25751
1267	44542	25713
1268	44577	25678
1269	44609	25641
1270	44643	25605
1271	44679	25571
1272	44718	25538
1273	44748	25500
1274	44782	25464
1275	44814	25427
1276	44848	25392
1277	44879	25354
1278	44912	25318
1279	44946	25282
1280	44980	25246
1281	45015	25211
1282	45050	25176
1283	45080	25138
1284	45113	25102
1285	45212	25102
1286	45247	25067
1287	45284	25033
1288	45318	24997
1289	45350	24960
1290	45386	24925
1291	45425	24892
1292	45457	24855
1293	45492	24820
1294	45532	24788
1295	45565	24751
1296	45596	24714
1297	45631	24679
1298	45664	24642
1299	45698	24607
1300	45734	24572
1301	45768	24536
1302	45803	24501
1303	45837	24465
1304	45867	24427
1305	45897	24389
1306	45930	24353
1307	45965	24318
1308	45998	24282
1309	46032	24246
1310	46065	24209
1311	46102	24175
1312	46136	24140
1313	46169	24103
1314	46203	24067
1315	46251	24039
1316	46280	24001
1317	46315	23966
1318	46348	23929
1319	46379	23892
1320	46411	23855
1321	46443	23818
1322	46477	23783
1323	46516	23749
1324	46552	23715
1325	46585	23679
1326	46616	23642
1327	46652	23607
1328	46687	23571
1329	46720	23536
1330	46754	23500
1331	46788	23464
1332	46823	23429
1333	46851	23390
1334	46882	23353
1335	46917	23318
1336	46950	23282
1337	46981	23244
1338	47019	23211
1339	47054	23176
1340	47089	23140
1341	47126	23106
1342	47162	23071
1343	47197	23036
1344	47229	23000
1345	47278	22971
1346	47314	22937
1347	47346	22900
1348	47383	22866
1349	47418	22831
1350	47453	22796
1351	47492	22762
1352	47539	22733
1353	47583	22702
1354	47621	22668
1355	47654	22632
1356	47695	22599
1357	47734	22566
1358	47770	22532
1359	47806	22497
1360	47839	22460
1361	47871	22424
1362	47903	22387
1363	47934	22350
1364	47964	22313
1365	47999	22277
1366	48036	22243
1367	48065	22205
1368	48097	22168
1369	48132	22134
1370	48164	22097
1371	48199	22062
1372	48231	22025
1373	48265	21990
1374	48314	21961
1375	48347	21925
1376	48381	21889
1377	48411	21852
1378	48447	21817
1379	48481	21781
1380	48522	21748
1381	48558	21714
1382	48590	21677
1383	48624	21642
1384	48659	21606
1385	48691	21570
1386	48729	21536
1387	48759	21499
1388	48794	21463
1389	48831	21429
1390	48863	21393
1391	48900	21358
1392	48933	21322
1393	48969	21287
1394	49003	21252
1395	49039	21217
1396	49070	21180
1397	49109	21147
1398	49144	21111
1399	49178	21076
1400	49216	21042
1401	49249	21006
1402	49289	20973
1403	49335	20942
1404	49368	20906
1405	49402	20871
1406	49443	20838
1407	49480	20804
1408	49512	20767
1409	49546	20732
1410	49585	20698
1411	49619	20663
1412	49665	20632
1413	49705	20599
1414	49748	20567
1415	49792	20535
1416	49832	20502
1417	49873	20470
1418	49907	20434
1419	49941	20398
1420	49974	20362
1421	50012	20328
1422	50053	20295
1423	50083	20258
1424	50114	20221
1425	50149	20186
1426	50180	20149
1427	50209	20112
1428	50246	20077
1429	50284	20043
1430	50327	20011
1431	50379	19982
1432	50410	19946
1433	50444	19910
1434	50481	19876
1435	50518	19841
1436	50552	19805
1437	50585	19769
1438	50618	19733
1439	50652	19698
1440	50685	19662
1441	50719	19626
1442	50744	19587
1443	50777	19551
1444	50811	19515
1445	50842	19479
1446	50875	19443
1447	50908	19407
1448	50940	19370
1449	50975	19335
1450	51007	19299
1451	51041	19263
1452	51075	19227
1453	51107	19191
1454	51140	19155
1455	51174	19120
1456	51207	19084
1457	51237	19047
1458	51272	19012
1459	51308	18976
1460	51339	18940
1461	51370	18903
1462	51423	18875
1463	51459	18840
1464	51496	18805
1465	51534	18771
1466	51567	18735
1467	51601	18700
1468	51630	18662
1469	51663	18626
1470	51697	18591
1471	51743	18560
1472	51787	18528
1473	51823	18493
1474	51856	18457
1475	51891	18422
1476	51925	18386
1477	51959	18350
1478	51994	18315
1479	52028	18280
1480	52060	18244
1481	52094	18208
1482	52128	18172
1483	52168	18139
1484	52200	18103
1485	52229	18066
1486	52266	18031
1487	52299	17995
1488	52335	17960
1489	52369	17925
1490	52403	17889
1491	52436	17853
1492	52491	17825
1493	52524	17789
1494	52555	17752
1495	52587	17716
1496	52620	17680
1497	52653	17644
1498	52684	17608
1499	52716	17572
1500	52751	17536
1501	52789	17502
1502	52826	17468
1503	52860	17432
1504	52900	17399
1505	52936	17364
1506	52977	17331
1507	53018	17297
1508	53059	17264
1509	53184	17258
1510	53219	17223
1511	53255	17188
1512	53302	17156
1513	53338	17121
1514	53378	17088
1515	53417	17054
1516	53449	17017
1517	53505	16989
1518	53541	16954
1519	53581	16920
1520	53617	16885
1521	53649	16849
1522	53690	16815
1523	53735	16783
1524	53773	16749
1525	53808	16713
1526	53846	16679
1527	53886	16645
1528	53926	16611
1529	53960	16575
1530	53996	16541
1531	54033	16506
